"","Sites","Lat","Long","FC","WT"
"1","BE-Bra",51.3092,4.5206,425.603,129.5
"2","BE-Vie",50.3051,5.9981,408.616,169.141
"3","CH-Dav",46.8153,9.8559,485.79,194.82
"4","CH-Lae",47.4781,8.365,398.193,157.127
"5","DK-Sor",55.4859,11.6446,356.86,138.139
"6","FI-Hyy",61.8464,24.2959,384.242,126.622
"7","FI-Let",60.6418,23.9597,384.242,126.622
"8","FI-Var",67.7667,29.5833,364.583,118.275
"9","FR-Bil",44.4944,-0.9561,315.579,79.5183
"10","FR-Hes",48.6742,7.0656,365.252,144.635
"11","IT-Cp2",41.7043,12.3573,461.049,194.053
"12","IT-SR2",43.732,10.291,387.377,159.193
"13","SE-Htm",56.0976,13.419,214.358,57.7595
"14","SE-Nor",60.0833,17.4833,295.939,97.205
"15","SE-Ros",64.1725,19.738,221.938,59.391
"16","SE-Svb",64.2561,19.7745,221.938,59.391
